"Titel";"Shop-Link";"Preis";"Kategorie";"Priorität";"Bild-URL";"Notiz";"Beschreibung"
"PAW Patrol: Der Dino-Film Set Rocky mit Dino-Rettungs-LKW";"https://www.smythstoys.com/at/de-at/spielzeug/vorschule/paw-patrol/paw-patrol-fahrzeuge-und-figuren/paw-patrol-der-dino-film-set-rocky-mit-dino-rettungs-lkw/p/258441";"19,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/258441.jpg";"Art.-Nr. 258441";""
"PAW Patrol: Der Dino-Film Set Chase mit Dino-Rettungs-Cruiser";"https://www.smythstoys.com/at/de-at/spielzeug/vorschule/paw-patrol/paw-patrol-fahrzeuge-und-figuren/paw-patrol-der-dino-film-set-chase-mit-dino-rettungs-cruiser/p/258452";"19,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/258452.jpg";"Art.-Nr. 258452";""
"Aero Scooter Neo Chrome Kick mit LED Rädern";"https://www.smythstoys.com/at/de-at/outdoor/kinderroller-und-e-scooter/weitere-scooter/aero-scooter-neo-chrome-kick-mit-led-raedern/p/229513";"69,99";"Garten & Outdoor";"Normal";"https://image.smythstoys.com/original/800/desktop/229513.jpg";"Art.-Nr. 229513";""
"PAW Patrol: Der Dino-Film Set Zuma mit Dino-Rettungs-Hovercraft";"https://www.smythstoys.com/at/de-at/spielzeug/vorschule/paw-patrol/paw-patrol-fahrzeuge-und-figuren/paw-patrol-der-dino-film-set-zuma-mit-dino-rettungs-hovercraft/p/258453";"19,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/258453.jpg";"Art.-Nr. 258453";""
"Pokémon Select Figur Mega-Glurak X 15 cm";"https://www.smythstoys.com/at/de-at/spielzeug/action-spielzeug/pokemon/pokemon-figuren-und-sets/pokemon-select-figur-mega-glurak-x-15-cm/p/245210";"24,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/245210.jpg";"Art.-Nr. 245210";""
"Pokémon Kuscheltier Meisterball 12,5 cm";"https://www.smythstoys.com/at/de-at/spielzeug/plueschtiere-und-kuscheltiere/kuscheltiere/pokemon-plueschtiere/pokemon-kuscheltier-meisterball-12-5-cm/p/235472004";"7,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/235472004.jpg";"Art.-Nr. 235472004";""
"Pokémon Clip 'N' Go Figur Bisasam und Pokéball";"https://www.smythstoys.com/at/de-at/spielzeug/action-spielzeug/pokemon/pokemon-figuren-und-sets/pokemon-clip-n-go-figur-bisasam-und-pokeball/p/178285092";"13,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/178285092.jpg";"Art.-Nr. 178285092";""
"Pokémon Clip 'N' Go Figur Schiggy und Pokéball";"https://www.smythstoys.com/at/de-at/spielzeug/action-spielzeug/pokemon/pokemon-figuren-und-sets/pokemon-clip-n-go-figur-schiggy-und-pokeball/p/178285087";"13,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/178285087.jpg";"Art.-Nr. 178285087";""
"Hover Ball Indoor Fußball mit LED Licht";"https://www.smythstoys.com/at/de-at/outdoor/fussball-und-tore/hover-ball-indoor-fussball-mit-led-licht/p/166003";"4,99";"Garten & Outdoor";"Normal";"https://image.smythstoys.com/original/800/desktop/166003.jpg";"Art.-Nr. 166003";""
"Playskool Heroes Marvel Super Hero Adventures Spider-Mans Jet-Quartier Flugzeug";"https://www.smythstoys.com/at/de-at/spielzeug/action-spielzeug/actionfiguren/spider-man-figuren-und-sets/playskool-heroes-marvel-super-hero-adventures-spider-mans-jet-quartier-flugzeug/p/177128";"34,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/177128.jpg";"Art.-Nr. 177128";""
"Super Wings 2-in-1-Set Super-Roboter-Anzug Jett";"https://www.smythstoys.com/at/de-at/spielzeug/vorschule/super-wings/super-wings-2-in-1-set-super-roboter-anzug-jett/p/235073";"24,99";"Spielzeug";"Normal";"https://image.smythstoys.com/original/800/desktop/235073.jpg";"Art.-Nr. 235073";""
